"IssuerID","State","Plan Type","ReportingUnitID","PlanID","OverallRatingValue","MedicalCareRatingValue","MemberExperienceRatingValue","PlanAdministrationRatingValue","NotRatedReason_OverallRatingDesc","NotRatedReason_MedicalCareRatingDesc","NotRatedReason_MemberExperienceRatingDesc","NotRatedReason_PlanAdministrationRatingDesc"
11574,IL,HMO,11574-IL-HMO,11574IL0010002,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010003,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010005,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010006,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010008,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010011,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010012,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010013,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010014,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010015,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010017,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010020,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010021,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010023,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010024,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010025,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010026,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010027,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010028,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010029,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010030,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010033,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010034,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010035,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010036,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010037,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010038,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010039,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010041,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010042,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010043,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0010045,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0020008,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0020015,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0020025,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
11574,IL,HMO,11574-IL-HMO,11574IL0020027,NR,NR,NR,NR,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring,New-ineligible for Scoring
12379,FL,EPO,12379-FL-EPO,12379FL0010001,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010002,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010003,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010004,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010006,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010008,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010009,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010011,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010012,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010013,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010014,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010015,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010016,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010018,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010019,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010021,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
